"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini dachshund
Dog,Stella Bo Bella,Stella,6.5,Mongrel
Cat,Meryl Streep,Merrill,8,Unknown
Dog,Tilly,Tills,13,Chocolate Labrador
Cat,Pumpkin,Pumpkin,12,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit bull
Cat,Jacques,Jacques,12,Unknown
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,Some kind of mix
Dog,Ljus  (Swedish word for light),Ljus,0.2684934,Golden Retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,Unknown
Cat,Clarence,Clarence,12,Russian Blue
Dog,Layla ‘The Tank’,Layla,3,Pit bull
Cat,Amber,Ambs,10,Tortoise shell
Dog,Benny and the Jets,Ben,1,Mastiff/Great Dane
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Pitbull/Terrier mix
Dog,Shadow,Shadow,15.5,Golden Retriever
Cat,Little Bit,Skittles,10,Tabby
Dog,Luna,Luna,1,Great Pyrenees
Cat,Garrison,Garrison,9,Russian Blue
Dog,Cody,"Baby, Pookie",13,Black lab/cocker spaniel mix
Hamster,Hammy,Ham,1,Russian Dwarf
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,0.5833338,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Cat,Lucy,Lucy,4,Russian Blue
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mongrel
Dog,Oscar,Oscar,10,Shepherd retriever mix
Cat,Serena,Mouse Pie,17,Domestic Longhair
Cat,Maxine Waters,Maxine,4,Unknown
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees/Lab
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Cat,Pip,Pip,11,Tuxedo cat
Dog,Olive Oil,Olive,2,Australian Shepherd
Rabbit,Iggy and Ziggy,Igs and Zigs,3,Lop and angora
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mongrel
Dog,Max,Maxie,16,carin terrier/ kerry blue terrier/ keeshond
Dog,Howard,Howie,10,American Staffordshire Terrier mix
Cat,Samantha Bee,Sam,3,Tuxedo cat
Dog,Ella Fitzgerald,Ella,12,Heinz 57
Cat,Chanel,Teeny,6.5,Unknown
Other,Commander Ambrose,The Commander,0.833334,Betta fish
Dog,Josephine Bakes,Josie,5,Pit bull/lab mix
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,OJP,1,Feral
Cat,Scotty,Scotty,8,Domestic shorthair
Cat,Macallan,Mac,8,Unknown
Dog,Cody James,Buddy,1.5,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever/Husky/Shepherd/Jack Russell
Cat,Katie,Boo,9,Tuxedo moggy
Server,damn,it,2,Skylake
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Other,Bella,Bella,2,Russian Dwarf
Cat,June Bug,June Bug,5,Unknown
Dog,Lucky,"Luck, Luckboy, Luck duck",3,"Jack a bee (half jack russell, half beagle)"
Dog,Darcy,Darcy,3,Working cocker spaniel
Cat,Neko,"Neko, Cat, Kitten",6,Domestic shorthair
Cat,Maisie,Maisy,7,Unknown
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mongrel
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Cat,Mongoose,Goosey,1.9166682000000002,Unknown
Cat,Flerf,Bab,16,Tortie
Dog,Bourbon,Bourbon,3,Mongrel
Dog,Riley,Smiley Riley,13,Golden Retriever
Cat,Murphy,Murph,13,Domestic shorthair
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Cat,Mackerel,Mack,1.9166682000000002,Unknown
Cat,Regis,"Regis (or ""little asshole"")",0.416667,Unknown
Cat,Laetynne Marah,Lae lae,7,Siamese
Cat,Callie,Callie,15,Domestic shorthair
Dog,Bentley,Bentley boy,3,Australian labradoodle
Cat,Crumb Bun,Bobo,9,Tuxedo garbage cat
Dog,Fenway,Fenway,6,Boston terrier
Dog,Benelli,Name,3,Black Lab
Turtle,Lenny,Lenny,12,Unknown
Dog,Washington the Destroyer,Wash,6.5,Chocolate lab
Cat,Otto,Otto,16,Unknown
Dog,Philomenos,"Philo, Phil, phi phi",9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Chocolate lab
Dog,Winston,Wintin,4,Wire-haired mutt
Dog,Torchenay Be Cool,Max,13,Beagle
Cat,Petunia Marie,Tooney,7,Domestic shorthair
Dog,Brutus,Brutus,7,Yellow Labrador Retriever
Cat,Louis,LouLou,4.5,Black cat
Cat,Lilah May,Lilah,12,Domestic shorthair
Dog,Lucu,Puppy,7,Black lab/ blue heeler
Dog,Mosephine,Mo,1,Standard Poodle
Dog,Abegeweit,Abi (Abby),16,Fox terrier mix
Dog,Kramer,Kray Kray,12,Golden Retriever
Bird,Coco Moe,Coco,15,Cockatiel
Cat,Apollo,Beeper,1,Unknown
Dog,Rusty,Wusty,5,Golden Lab
Dog,Demi,"Dems, demi dog, the queen",6,Mongrel
Dog,Alfredog,Alfie,11,Mongrel
Rabbit,Professor Nibblesworth Bunnypants,Nibbles,6,Netherland Dwarf
Dog,Shorty Do-Op,Shorty,15,Mongrel
Dog,Penny,Penny,3,Australian Shepherd
Dog,Tuxedo,Tux,1.5000012,Schnauzer
Dog,Sally,Sally,7,Golden Retriever
Dog,Lola,Lola,6,Mongrel
Cat,Noodle,Noodle,4,Domestic medium hair
Dog,Gustav,Goober,10,German Shepherd mix
Hamster,Charlie,Charlie,1.5,Syrian
Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
Dog,Duke,Duke,3,Australian Shepherd
Dog,Millie,Mills,7,Jack Russell Terrier
Dog,Sir Winston of Weston,"Winston , Winnie",10,Golden Retriever
Cat,Bucky,Bucks,2,Norwegian Forest cat
Dog,Angus OgDog Dogga McDuff,Angus,13,West Highland White Terrier
Cat,Spot,Spotty Bear,4,Domestic shorthair
Cat,Cookie,Cooks,2,Ragdoll
Dog,Lady,Doofus,6,Chocolate lab mix
Dog,Maggie Peaches,Maggie,13,Bichon Poodle
Cat,Amelia,Amelita,2,Unknown
Dog,Camembert,Cami,5,Bernese Mountain Dog
Dog,Shadow,Shadow,3,Saluki
Dog,Archer,archer,3,Golden Retriever
Dog,Robbie,robz,1.5,Whippet
Cat,Noah,Noah,2,Unknown
Other,Penny,Pen,4,Unknown
Cat,Lovey Cat,Lovey,18,Unknown
Dog,Roxy,Roxy,8,Pit bull
Dog,Ashton Sebastian,Ash,9,Pit bull mix
Dog,Maximum,Max,10,Puggle
Dog,Rosalind Pearl,Rosie,5,Border collie mix
Rabbit,Lena,Lena,8,Mini lop
Hamster,Beauxbaton,Beau,2.5,Winter white
Dog,Chyna,Chyna,16,Little terrier poodle mix
Dog,Sadie,Sadie,4,Cockapoo
Dog,Flynn,Flynn,0.9166674,Corgi
Cat,Felicity Louise,Flick,4,Domestic shorthair
Fish,James Pond,James,5,Goldfish
Cat,Mars,Mars,8,Domestic shorthair
Dog,Loki,Loki,3,Unknown
Cat,Millie,Mill,13,Domestic shorthair
Dog,Trixie,Trix,3,"Toy Fox Terrier / Yorkie (""Torkie"")"
Dog,Birdy,Birdy,4,Pomeranian mix
Cat,Charlotte Wallace,Chuck,8,Cat
Cat,Thumper Dumper Bumble Butt,Thumper,16,Domestic shorthair
Dog,Vince,Vincie,11,Yellow lab
Dog,Cobert,Cob,2,Dalmatian
Fish,Little Prince,LP,2,Fish
Dog,Jack Daniel,Jackie,3,Chocolate lab
Dog,Crinkle,Crinkle,7,Mongrel
Dog,Maisy Lynn Marie,Mimsy,6,beagle mix
Dog,Beemer,Beemo,7,Aussie doodle
Guinea pig,Rosencrantz WGP,Rosie,3,Unknown
Cat,Michelin,Michelin,14,"Cat, he's a cat, we found him on my dad's tire... I think you can guess what brand tires my dad had"
Dog,Mac,Mac,5,Boxer/mastiff mix
Dog,Maximillion Taxi,Max,9,Labrador mix
Dog,Krypto,Dinky,6,Golden Retriever
Cat,Piper,Pippin,5,Cat
Dog,Bo Jangles,Bo,0.833334,Husky/Boxer
Cat,Slinkey,Slonk,5,Unknown
Dog,Brixton,Brixie,1,Golden Retriever
Dog,Jasper,Jasper,10,Miniature labradoodle
Cat,Tabitha,Tabber,8,Unknown
Dog,Shadow Montgomery,Lovebug,2,Golden Retriever
Fish,Vitale Male the hot tamale who has a cooking show with Mario Batale,Vitale,1,Betta fish
Cat,Ramona,Meemo,4,Unknown
Dog,Scout,Scout,14,Beagle
Cat,Cocoa,"Cokes, Nuts, Cocoa",12,Tuxedo shorthair
Cat,Napoleon,Deviled egg,2,Unknown
Dog,Libby,Libby,12,Golden Retriever
Dog,Jasper Tucker Oaf,Jasper,11,Black Lab
Cat,Clarissa Fluffnugget,Clary,2,Domestic Longhair
Dog,Tazmanian Devik,Taz,9,Mongrel
Dog,Iggy Pup,Iggy,0.3333336,Miniature double doodle
Dog,Lilly,Lilly,12,Labrador Retriever
Dog,Furrdinand,Furrdie,10,Pomeranian
Dog,Monster Mayhem,Doodle,8,Dachshund
Dog,Watson,Watson,6,Labrador Retriever
Dog,Shine,Shine,12,Hound mix
Dog,Freeney Schnurpel,Freenster,13,Shih Tzu
Dog,Bella Jean,Bella,No longer with us :(,Chihuahua/yorkie mix
Dog,Ratchet,Ratchie,5,Pug/Dachshund
Dog,Clifford,Clifford,4,Clumber spaniel
Dog,Goose,Gooby,1,Rat Terrier Mix
Cat,Cricket,"Crickby, Cringus, Don Crickles, etc.",8,Domestic Longhair
Dog,Magnus,Munchkin,7,Cairn Terrier
Cat,Baby Kitty,Baby Kitty,7,Kitty cat
Dog,Shiloh’s Dixie Skye,Dixie,8,Mini schnauzer
Dog,Bootsie,BootsToots,17,Terrier mix
Cat,Bowie,Kitty boy,0.6666672,Tuxedo cat
Dog,Mindy,Mindy,10,Black Lab
Dog,Spock,Spock,7,Mongrel
Dog,Merlin,Mer-dog,12,Chesapeake bay retriever
Dog,Sylvia Plath,Sylvia,3,German Shorthaired Pointer
Dog,Smokey Neyland,Smo,9,Schnoodle
Dog,Rufus Tee Hilderbrec,Rufus,11,Shih Tzu
Dog,Bailey,B or B-Dog,7,Border Collie
Dog,Sebastian,Bash,0.3333336,Maltipoo
Cat,Mika Joe,Mika,9,Siamese
Dog,Tess,Tess,13,Border collie cross
Dog,Zorro,Z,8,Long-haired Chihuahua
Dog,Deacon,Deac,11,Chesapeake bay retriever
Cat,Sir charles chickenhock chaplin the teleporting dot,Charlie,11,Unknown
Cat,Ally,Al,4,Cat
Rabbit,Gandalf,Gandalf,10,Lionhead
Cat,Lucas Adam Wilkins,Luke,10,Tabby
Dog,Robert Ferguson Mooney,Bobby,6,Golden Retriever
Dog,James buchanan barnes,Bucky,2,Unknown
Dog,Buddy Boy,Buddy,16,Cocker Spaniel
Cat,Cleo,Dump,2,Cat
Dog,Belle Watling,Belle,2,Maltese
Dog,Magladon wagladon,Maggie,1,Old English sheepdog
Dog,Bella,Bella,14,Unknown
Horse,Half pint,Half pint,6,Unknown
Cat,Leah Suji Wilkins,The Squeak aka Squeakerfish,10,Tabby
Dog,Sophie,Sophie,11,Golden Retriever
Cat,Mitsy,Mitsy,4,Unknown
Dog,Stewart Little,Stewie,16,Pomeranian
Dog,Sadie,Sadie,0.9166674,Golden Retriever
Dog,Ashley Wilkes,Ash,11,YorkiePoo
Cow,Daisy the cow,Daisy,3,Unknown
Dog,Oliver Jospeh Andrew,Oliver,12,Golden retriever mix
Dog,Rhett,Rhetters,12,English Springer Spaniel
Cat,Emma May Wilkins,Emma,4,Tortie
Cat,Hashtag Anamara Mainecoon,Hashtag,6,Maine Coon
Fish,Caroline Gravel,Gravel,2,Betta fish
Dog,Lily,Lil,5,Golden Retriever
Cat,Arthur Fonzarelli,Fonzie,12,Part Maine coon
Cat,Vriska Serket,Vriska,8,Domestic shorthair
Cat,Fabio,Fabio,3,Unknown
Dog,Cookie,CookieMonster,8,Shih Tzu
Dog,Brutus,Brutus,10,Great white pyrenees/yellow lab
Dog,Ralph,Ralph,0.3333336,Golden Retriever
Dog,Kurt,Kurtis,2,Black mouth cur
Dog,Lyra Cristina,Lyra,0.7500006,Mongrel
Dog,Bailey bear,Bay girl,6,Lab and German shepherd mix
Dog,Brooklyn,Brooklyn,2,Beagle
Cat,Isabelle,Izzy,11,Tortoise shell
Dog,Champion Craig,Champ,14,beagle mix
Cat,Kelly,Kelly,13,Unknown
Dog,Lennox,Lenny,4,Shih Tzu
Dog,Sullivan Otis,Sulley,10,Catahoula Leopard
Cat,oreo vanilla cookie,nene,11,Unknown
Cat,Chessie,Chess,12,Siamese
Dog,Hank,Hanky panky,1,Black mouth cur
Dog,Allie Nichols,Allie,5,Mongrel
Dog,Lila,Lila,5,Newfoundland
Cat,Bubbles,Bubs,11,Chartreux
Dog,Liberty Louise,Libby,9,English Springer Spaniel
Cat,Sushi Charrito,Sush,2,Tuxedo cat
Cat,Mouse,MousePotato,3,Unknown
Cat,Kate,Katie,19,Tortoise shell
Dog,Jimmy,JimmyJamSunshineMan,5,Shih Tzu
Dog,Rocky,Rocko,9,Rottweiler
Dog,Sheldon Michael,Shel,7,Westin/min pin
Dog,Jackson,Pupper,3,Australian blue cattle dog
Cat,Midnight,Keek,19,American shorthair
Dog,Maxwell Amos,Max,10,Catahoula Leopard
Cat,angelina,whitey,5,Unknown
Dog,Margaret Lewis,Maggie,11,Mongrel
Dog,Ginger,Geeper Creeper,10,Golden retriever mix
Virus,Johannes venereal Versmear,Venny,0.0383562,Unknown
Dog,Gator,Tate,8,Rottweiler/Irish setter
Dog,Badger,Badger,12,Dachshund
Dog,Beauregard,Beau,22,Golden Retriever
Dog,Buffy,Buffy and/or Buffalo,8,Beagle/Jack Russel
Dog,duque,duque,1,Mongrel
Dog,Mika,Mika,5,Husky
Dog,Scarlett,Little Girl,8,Border Collie
Dog,Macy,Macy,11,Golden retriever mix
Dog,Gromit Walker,Gromit,8,Golden Retriever
Cat,Ms. Kitty,Ms. Kitty,16,Unknown
Dog,Gracie Lou Freebush,Gracy,9,Black Lab/Angel
Dog,River,River,0.2684934,Husky
Ferret,Leo,LeHOE,1,Unknown
Dog,Olaf,Olaf,4,Chihuahua
Dog,Buttons,Buttons (sometimes with a french accent),2,Beagle
Dog,Stevie James,Steve,9,Maltipoo
Dog,Mila,Crusty,14,Rottweiler Mix
Dog,Murphy,Murph,5,Golden Retriever
Cat,Tiger,tiggy,5,Unknown
Cat,Edna Lou,Breadna,5,Unknown
Cat,Princess Purdy,Purdy,11,Domestic Longhair
Cat,Squidward,Squid,1,Domestic shorthair
Dog,Oscar the Amazing VelcroDog,Oscar,12,Terrier mix
Dog,Poppy,Poppy,4,Shih Tzu
Cat,daisy dukerson,Daisy,5,Unknown
Cat,Tigger,Tigger,17,Tabby
Cat,Bubbles,Bubby,6,Unknown
Cat,Prince Charlie,Charlie,11,Domestic Longhair
Dog,Ellie Mae,Ellie,13,Cocker Spaniel
Dog,Snowy,Snow,11,Shih Tzu
Dog,Bruno,Bruno,4,Border Collie
Cat,Twitch,Twitch,11,Domestic shorthair
Dog,Mona,Mona,12,Bluetick beagle
Cat,harley davidson,har mar,9,Unknown
Cat,Ted Kennedy,Teddy,1,Domestic shorthair
Dog,Yaz,Yazzy,11,Golden retriever/border collie
Dog,Princess Leia Organa,Princess,Dead,Mongrel
Dog,Oakley,"Oak, oakey-doke",3,Shih Tzu
Dog,Tinkerbell,Tinky,4,Chihuahua
Cat,Bella,Bella,4,Maine Coon mix
Cat,Fup,Fup,10,Unknown
Dog,Beckett,Beckett or Becky,9,Golden Retriever
Cat,Fudge,Fubdge,3,Ginger
Cat,Lady Luck,Lucky,11,Domestic shorthair
Cat,Moose,Moose,4,Maine Coon mix
Dog,Logan,Logan,10,Black Lab
Dog,Daisy Grace,Daisy,8,Mongrel
Cat,Leela,The Cat,10,Domestic shorthair
Cat,Ellie,Ellie-phant,9,Calico
Cat,Her Royal Highness the Princess Blaze,Blaze,9,Domestic shorthair
Cat,Phillipe Robert Jean Luc Tugboat “Toot! Toot!”,Phillipe,4,Manx cat
Cat,Alexander DapperCat,Alex,9,Domestic shorthair
Dog,Lila Betterhalf,Lila,13,Greyhound
Cat,Darling,Baby Girl,14,Manx cat
Cat,Smokey,Mr Moke,12,British Shorthair
Cat,Jezebel,Jez,14,Himalayan
Dog,Tula Jean,Tula,1,Unknown
Cat,Edison D. Cat,Eddie,9,Domestic shorthair
Cat,Redford,Rasa,12,Unknown
Dog,Odin,Odin,1,Mongrel
Dog,Annie Piker,Annie,8,Greyhound
Dog,Rusty,Rusty,4,Golden Retriever
Cat,Thomas,“Tom” “Old Man”,18,Domestic shorthair
Cat,Fleckchen,Monster,7,European Shorthair
Dog,Stella Luna,Stella,4,Labrador mix
Cat,Fay Fuller,Fay,0.2684934,Unknown
Dog,Pancho Villa,Pacho,12,Pug
Dog,Waldo,Waldo,9,Cockapoo
,,,,Unknown
Cat,Luna,Kuschelmaus,8,European Shorthair
Dog,Yadier,Yadi,4,Golden Retriever
Rabbit,DJ Roomba,DJ Roomba,,Unknown
Dog,Ruby Gem,Ruby,4,Terrier mix
Dog,BuddyGus,Buddy or Boo,1.666668,Golden Retriever
Dog,Homer,Homie,5,Springer Spaniel
Dog,Pippie,Pippie or Pippo,2,Pit bull/ Bassett hound mix
Dog,Parker,,6,Beagle
Dog,Chipper Doodle,Chip,12,Chocolate lab
Dog,Jack,Jack,7,Labrador Retriever
Dog,"Xena, Warrior Pinscher",Xena,14,Miniature Pinscher
Dog,Gabby,Gabby,2,Golden Retriever
Dog,Rosebud,Rosie,10,Beagle
Dog,Cooper,Coopee,10,YorkiePoo
Dog,Shakota,Shakota,12,Siberian Husky
Dog,Wilbur,Wilby,7,French/English Bulldog
Dog,Finn T. Dog,Finn,0.416667,Weimaraner
Cat,Wilma,Wilma Jean the Queen,2,Domestic shorthair
Dog,Bailey,"Baylee Boo, Taps",2,Unknown
Dog,Sprocket,"Bark, sprock, spark",15,Mongrel
Cat,Peppercorn Ale,Pepper,14,Unknown
Cat,Stanley,Stan the handsome man,1,Domestic shorthair
Bird,Ahanu,Ahanu,13,Caique
Dog,Sophie,Sophie,13,Maltese mix
Dog,Sasha,Chunk,1,Lab/shepherd
Bird,Perkins the Parakeer,Perkins,3,Parakeet
Dog,Kookie (pronounced cookie) Pants,Noodle,15,Jack Russell Terrier
Dog,Miss Maisy Cakes,Maisy,1,Unknown
Dog,Han Solo,Solo,3,English Cocker Spaniel
Dog,Lillith Anne,Lily,6,Alaskan Husky
Dog,Michelangelo,Mikey,11,English Cocker Spaniel
Dog,Freddie Beagle,Fred or Freddie,11,Beagle
Dog,Pieper,Pooper,4,Unknown
Fish,Toilet Mimosa Gillan,Togimi,0.5000004,Betta fish
Dog,Jacob,Jake,6,Alaskan Husky
Lizard,Drazil Marie,Drazil,4,Bearded Dragon Lizard
Dog,Titus Augustus,Tidy,9,American Foxhound
Dog,,Cirrus,2,Poodle
Dog,Shelby,Shelby,14,Labrador Retriever
Dog,,Nimbus,0.5,Poodle
Dog,Finn,Finn,1,Cavalier King Charles Spaniel
Cat,Kitten Kitten Kittycat,Kitty,14,Domestic Longhair
Dog,Tessie Joan (of Arc),Tessie,7,American Foxhound
Dog,Ginger,Ginger,12,Golden Retriever
Dog,Sadie,Sadie,6,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Koda Kingslayer,Koda,2,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Maggie,Ms America,7,Golden Retriever
Dog,Henry (after Dorian Grey),Henry,1,Brittany
Dog,Megan,Puppy,10,Mongrel
Cat,Dante’s InFURno,Dante,7,Maine Coon
Cat,Gatsby,Gatsby,0.833334,"Stray, black"
Cat,Tyrone,Tyrone,0.5000004,Unknown
Dog,Hopper T. Dog,Hops,6,Golden Retriever
Dog,Snickers,Snickers,10,beagle mix
Cat,Tommy toe,Tommy,3,Unknown
Cat,Wheels,Wheels,16,Unknown
Dog,Venkman,Venk,5,Golden Retriever
Cat,Maisie,Maisie,0.833334,"Stray, black"
Dog,Murphy,Murph,"0,5",Cocker Spaniel
Dog,Maggie,Schmieg,12,Golden Retriever
Cat,Lin Meow Miranda,Lin,3,American shorthair
Dog,Jasmine,Jasmine,13,Golden Retriever
Dog,Hurley Pearly Sky-Sky,Hurley,7,Shih Tzu
Dog,Queso,Queso,14,Golden Retriever
Dog,Breezy Anne,Breezy,5,German Shepherd
Dog,Riley,Riley,7,Golden Retriever
Fish,Fishy Fishy Fishy III,Fishy,0.7500006,Siamese Fighting Fish (Beta)
Dog,Homer J,Homer,10,Basenji Mix
Dog,Tucker,Tucker,7,Golden Retriever
Cat,Kitty Vegas,Vegas,6,Domestic Longhair
Dog,Abby,Abby,3,Pit bull/Lab/Beagle/Chihuahua Mix/General mutt
Dog,Cooper Triple Bogey,Coop,0.1726029,Golden Retriever
Dog,Shelby,Shelby,1,Blue Tick Coonhound/Mountain Cur
Cat,Dr Gaius Baltar,Gusgus,10,Russian Blue
Dog,Oakley Dalton,Oaks,6,Unknown
Dog,Lucy Lou,Goose,9,Golden Retriever
Car,April,April,14,Unknown
Cat,Vasquez,Vasquez,7,Domestic shorthair
Dog,Niles Crane,Niles,4,Border Collie
Dog,Little Lucky One,Lucky,13,Chihuahua
Dog,Benjamin Sebastian,Benjamin,7,Collie basset hound mix.
Dog,Siris Maximus,Sirius,5,Alaskan Husky
Dog,Blaze,Blaze,5,Labrador Retriever
Dog,Brody,Brody,11,Yorkshire terrier mix
Cat,Ripley,Chubby Chubs,4,Domestic shorthair
Dog,Director of Chaos,D.O.C.,4,Boxer
Cat,Josh Joshua Joshylin,Josh,6,Tuxedo cat
Cat,Lisa,Lisa,12,Unknown
Dog,Cody,Codes,11,Golden Retriever
Cat,Nepeta,Nepeta,2,Shorthair cat
Dog,Emma,Rotta,6,Mittelspitz
Cat,Leeloo Dallas Multipass,Leeloo,9,LaPerm
Dog,Isabella Grace,Bella,7,Maltese
Dog,Cookie Boogie,Boogie,3,Unknown
Cat,Cataria,Tarie,2,Unknown
Dog,Salina,Salina,2,Hound mix
Dog,Theodore James,Theo,5,Maltese
Dog,Ofelia,Ofie Lofie,15,Norwich Terrier
Dog,Hermie,Hermie,4,Chocolate Lab/Pit Mix
Gecko,Turtle,Turtle,5,Unknown
Dog,Jackson Baines Hardin,"Jackson, Jack",14,Shepherd mix
Cat,Tali'zorah vas Normandy,Tali,9,LaPerm
Dog,Rudy,Rudy,12,Black Lab
Guinea pig,Teddy,Teddy,3,Unknown
Dog,Chuchi,Baby Chu,9,Toy Poodle
Dog,Belle Silver,Bobo,3,Brittany
Fish,Fish,Swish,7,Unknown
